id,week,day_of_week,start_time,end_time,classroom,is_rescheduled
212,6,3,8,9,G227,0
213,7,3,8,9,G227,0
214,8,3,8,9,G227,0
215,9,3,8,9,G227,0
216,10,3,8,9,G227,0
217,11,3,8,9,G227,0
218,12,3,8,9,G227,0
219,13,3,8,9,G227,0
220,14,3,8,9,G227,0
221,15,3,8,9,G227,0
222,16,3,8,9,G227,0
223,1,5,8,9,G227,0
224,2,5,8,9,G227,0
225,3,5,8,9,G227,0
226,4,5,8,9,G227,0
227,5,5,8,9,G227,0
228,6,5,8,9,G227,0
229,7,5,8,9,G227,0
230,8,5,8,9,G227,0
231,9,5,8,9,G227,0
232,10,5,8,9,G227,0
233,11,5,8,9,G227,0
234,12,5,8,9,G227,0
235,13,5,8,9,G227,0
236,14,5,8,9,G227,0
237,15,5,8,9,G227,0
238,16,5,8,9,G227,0
239,1,2,1,2,F504,0
240,2,2,1,2,F504,0
241,3,2,1,2,F504,0
242,4,2,1,2,F504,0
243,5,2,1,2,F504,0
244,6,2,1,2,F504,0
245,7,2,1,2,F504,0
246,8,2,1,2,F504,0
247,9,2,1,2,F504,0
248,10,2,1,2,F504,0
249,11,2,1,2,F504,0
250,12,2,1,2,F504,0
251,13,2,1,2,F504,0
252,14,2,1,2,F504,0
253,15,2,1,2,F504,0
254,16,2,1,2,F504,0
255,1,5,3,4,F504,0
256,2,5,3,4,F504,0
257,3,5,3,4,F504,0
258,4,5,3,4,F504,0
259,5,5,3,4,F504,0
260,6,5,3,4,F504,0
261,7,5,3,4,F504,0
262,8,5,3,4,F504,0
263,9,5,3,4,F504,0
264,10,5,3,4,F504,0
265,11,5,3,4,F504,0
266,12,5,3,4,F504,0
267,13,5,3,4,F504,0
268,14,5,3,4,F504,0
269,15,5,3,4,F504,0
270,16,5,3,4,F504,0
271,1,2,1,2,F502,0
272,2,2,1,2,F502,0
273,3,2,1,2,F502,0
274,4,2,1,2,F502,0
275,5,2,1,2,F502,0
276,6,2,1,2,F502,0
277,7,2,1,2,F502,0
278,8,2,1,2,F502,0
279,9,2,1,2,F502,0
280,10,2,1,2,F502,0
281,11,2,1,2,F502,0
282,12,2,1,2,F502,0
283,13,2,1,2,F502,0
284,14,2,1,2,F502,0
285,15,2,1,2,F502,0
286,16,2,1,2,F502,0
287,1,3,6,7,F504,0
288,2,3,6,7,F504,0
289,3,3,6,7,F504,0
290,4,3,6,7,F504,0
291,5,3,6,7,F504,0
292,6,3,6,7,F504,0
293,7,3,6,7,F504,0
294,8,3,6,7,F504,0
295,9,3,6,7,F504,0
296,10,3,6,7,F504,0
297,11,3,6,7,F504,0
298,12,3,6,7,F504,0
299,13,3,6,7,F504,0
300,14,3,6,7,F504,0
301,15,3,6,7,F504,0
302,16,3,6,7,F504,0
303,1,2,3,4,F201,0
304,2,2,3,4,F201,0
305,3,2,3,4,F201,0
306,4,2,3,4,F201,0
307,5,2,3,4,F201,0
308,6,2,3,4,F201,1
309,7,2,3,4,F201,0
310,8,2,3,4,F201,0
311,9,2,3,4,F201,0
312,10,2,3,4,F201,0
313,11,2,3,4,F201,0
314,12,2,3,4,F201,0
315,13,2,3,4,F201,0
316,14,2,3,4,F201,0
317,15,2,3,4,F201,0
318,16,2,3,4,F201,0
319,1,5,3,4,F201,0
320,2,5,3,4,F201,0
321,3,5,3,4,F201,0
322,4,5,3,4,F201,1
323,5,5,3,4,F201,0
324,6,5,3,4,F201,1
325,7,5,3,4,F201,0
326,8,5,3,4,F201,0
327,9,5,3,4,F201,0
328,10,5,3,4,F201,0
329,11,5,3,4,F201,0
330,12,5,3,4,F201,0
331,13,5,3,4,F201,0
332,14,5,3,4,F201,0
333,15,5,3,4,F201,0
334,16,5,3,4,F201,0
335,14,3,8,9,F303,0
336,13,3,8,9,F303,0
337,1,3,6,7,I202,0
338,2,3,6,7,I202,0
339,3,3,6,7,I202,0
340,4,3,6,7,I202,0
341,5,3,6,7,I202,0
342,6,3,6,7,I202,0
343,7,3,6,7,I202,0
344,8,3,6,7,I202,0
345,9,3,6,7,I202,0
346,10,3,6,7,I202,0
347,11,3,6,7,I202,0
348,12,3,6,7,I202,0
349,13,3,6,7,I202,0
350,14,3,6,7,I202,0
351,15,3,6,7,I202,0
352,16,3,6,7,I202,0
353,1,5,8,10,I202,0
354,2,5,8,10,I202,0
355,3,5,8,10,I202,0
356,4,5,8,10,I202,0
357,5,5,8,10,I202,0
358,6,5,8,10,I202,0
359,7,5,8,10,I202,0
360,8,5,8,10,I202,0
361,9,5,8,10,I202,0
362,10,5,8,10,I202,0
363,11,5,8,10,I202,0
364,12,5,8,10,I202,0
365,13,5,8,10,I202,0
366,14,5,8,10,I202,0
367,15,5,8,10,I202,0
368,16,5,8,10,I202,0
369,7,2,3,5,I202,0
370,1,2,6,7,I204,0
371,2,2,6,7,I204,0
372,3,2,6,7,I204,0
373,4,2,6,7,I204,0
374,5,2,6,7,I204,0
375,6,2,6,7,I204,0
376,7,2,6,7,I204,0
377,8,2,6,7,I204,0
378,9,2,6,7,I204,0
379,10,2,6,7,I204,0
380,11,2,6,7,I204,0
381,12,2,6,7,I204,0
382,13,2,6,7,I204,0
383,14,2,6,7,I204,0
384,15,2,6,7,I204,0
385,16,2,6,7,I204,0
386,1,4,8,10,I204,0
387,2,4,8,10,I204,0
388,3,4,8,10,I204,0
389,4,4,8,10,I204,0
390,5,4,8,10,I204,0
391,6,4,8,10,I204,0
392,7,4,8,10,I204,0
393,8,4,8,10,I204,0
394,9,4,8,10,I204,0
395,10,4,8,10,I204,0
396,11,4,8,10,I204,0
397,12,4,8,10,I204,0
398,13,4,8,10,I204,0
399,14,4,8,10,I204,0
400,15,4,8,10,I204,0
401,16,4,8,10,I204,0
402,1,1,6,7,I203,0
403,2,1,6,7,I203,0
404,3,1,6,7,I203,0
405,4,1,6,7,I203,0
406,5,1,6,7,I203,0
407,6,1,6,7,I203,0
408,7,1,6,7,I203,0
409,8,1,6,7,I203,0
410,9,1,6,7,I203,0
411,10,1,6,7,I203,0
412,11,1,6,7,I203,0
413,12,1,6,7,I203,0
414,13,1,6,7,I203,0
415,14,1,6,7,I203,0
416,15,1,6,7,I203,0
417,16,1,6,7,I203,0
418,1,3,1,2,I203,0
419,2,3,1,2,I203,0
420,3,3,1,2,I203,0
421,4,3,1,2,I203,0
422,5,3,1,2,I203,0
423,6,3,1,2,I203,0
424,7,3,1,2,I203,0
425,8,3,1,2,I203,0
426,9,3,1,2,I203,0
427,10,3,1,2,I203,0
428,11,3,1,2,I203,0
429,12,3,1,2,I203,0
430,13,3,1,2,I203,0
431,14,3,1,2,I203,0
432,15,3,1,2,I203,0
433,16,3,1,2,I203,0
434,1,2,1,2,I103,0
435,2,2,1,2,I103,0
436,3,2,1,2,I103,0
437,4,2,1,2,I103,0
438,5,2,1,2,I103,0
439,6,2,1,2,I103,0
440,7,2,1,2,I103,0
441,8,2,1,2,I103,0
442,1,4,6,7,I103,0
443,2,4,6,7,I103,0
444,3,4,6,7,I103,0
445,4,4,6,7,I103,0
446,5,4,6,7,I103,0
447,6,4,6,7,I103,0
448,7,4,6,7,I103,0
449,8,4,6,7,I103,0
450,1,1,1,2,I302,0
451,2,1,1,2,I302,0
452,3,1,1,2,I302,0
453,4,1,1,2,I302,0
454,5,1,1,2,I302,0
455,6,1,1,2,I302,0
