已排时间地点,调课结果
"9-16周 星期二 3-5节 文萃楼I602,9-16周 星期四 8-10节 文萃楼I602","调课:10周 星期4 8-10节 丁艳/6120100075,刘俊辉/6120220106,单家元/6120100018,宋晓东/6120104688,李传军/6120103524,梁宵/6120220228,王彦恺/6120104732,石忠佼/6120220161 文萃楼I602 调至:10周 星期4 8-10节 单家元/6120100018,梁宵/6120220228,石忠佼/6120220161,刘俊辉/6120220106,王彦恺/6120104732,宋晓东/6120104688,李传军/6120103524,丁艳/6120100075 工训楼909,调课:14周 星期4 8-10节 丁艳/6120100075,刘俊辉/6120220106,单家元/6120100018,宋晓东/6120104688,李传军/6120103524,梁宵/6120220228,王彦恺/6120104732,石忠佼/6120220161 文萃楼I602 调至:14周 星期2 8-10节 单家元/6120100018,梁宵/6120220228,石忠佼/6120220161,刘俊辉/6120220106,王彦恺/6120104732,宋晓东/6120104688,李传军/6120103524,丁艳/6120100075 工训楼910,调课:15周 星期2 3-5节 丁艳/6120100075,刘俊辉/6120220106,单家元/6120100018,宋晓东/6120104688,李传军/6120103524,梁宵/6120220228,王彦恺/6120104732,石忠佼/6120220161 文萃楼I602 调至:15周 星期2 3-5节 单家元/6120100018,梁宵/6120220228,石忠佼/6120220161,刘俊辉/6120220106,王彦恺/6120104732,宋晓东/6120104688,李传军/6120103524,丁艳/6120100075 工训楼910,调课:14周 星期2 3-5节 丁艳/6120100075,刘俊辉/6120220106,单家元/6120100018,宋晓东/6120104688,李传军/6120103524,梁宵/6120220228,王彦恺/6120104732,石忠佼/6120220161 文萃楼I602 调至:14周 星期2 3-5节 单家元/6120100018,梁宵/6120220228,石忠佼/6120220161,刘俊辉/6120220106,王彦恺/6120104732,宋晓东/6120104688,李传军/6120103524,丁艳/6120100075 工训楼910,调课:13周 星期4 8-10节 丁艳/6120100075,刘俊辉/6120220106,单家元/6120100018,宋晓东/6120104688,李传军/6120103524,梁宵/6120220228,王彦恺/6120104732,石忠佼/6120220161 文萃楼I602 调至:13周 星期4 8-10节 单家元/6120100018,梁宵/6120220228,石忠佼/6120220161,刘俊辉/6120220106,王彦恺/6120104732,宋晓东/6120104688,李传军/6120103524,丁艳/6120100075 工训楼910,调课:16周 星期4 8-10节 丁艳/6120100075,刘俊辉/6120220106,单家元/6120100018,宋晓东/6120104688,李传军/6120103524,梁宵/6120220228,王彦恺/6120104732,石忠佼/6120220161 文萃楼I602 调至:16周 星期4 8-10节 单家元/6120100018,梁宵/6120220228,石忠佼/6120220161,刘俊辉/6120220106,王彦恺/6120104732,宋晓东/6120104688,李传军/6120103524,丁艳/6120100075 工训楼910,调课:16周 星期2 3-5节 丁艳/6120100075,刘俊辉/6120220106,单家元/6120100018,宋晓东/6120104688,李传军/6120103524,梁宵/6120220228,王彦恺/6120104732,石忠佼/6120220161 文萃楼I602 调至:16周 星期2 3-5节 单家元/6120100018,梁宵/6120220228,石忠佼/6120220161,刘俊辉/6120220106,王彦恺/6120104732,宋晓东/6120104688,李传军/6120103524,丁艳/6120100075 工训楼910,调课:12周 星期4 8-10节 丁艳/6120100075,刘俊辉/6120220106,单家元/6120100018,宋晓东/6120104688,李传军/6120103524,梁宵/6120220228,王彦恺/6120104732,石忠佼/6120220161 文萃楼I602 调至:12周 星期4 8-10节 单家元/6120100018,梁宵/6120220228,石忠佼/6120220161,刘俊辉/6120220106,王彦恺/6120104732,宋晓东/6120104688,李传军/6120103524,丁艳/6120100075 工训楼910,调课:13周 星期2 3-5节 丁艳/6120100075,刘俊辉/6120220106,单家元/6120100018,宋晓东/6120104688,李传军/6120103524,梁宵/6120220228,王彦恺/6120104732,石忠佼/6120220161 文萃楼I602 调至:13周 星期2 3-5节 单家元/6120100018,梁宵/6120220228,石忠佼/6120220161,刘俊辉/6120220106,王彦恺/6120104732,宋晓东/6120104688,李传军/6120103524,丁艳/6120100075 工训楼910,调课:12周 星期2 3-5节 丁艳/6120100075,刘俊辉/6120220106,单家元/6120100018,宋晓东/6120104688,李传军/6120103524,梁宵/6120220228,王彦恺/6120104732,石忠佼/6120220161 文萃楼I602 调至:12周 星期2 3-5节 单家元/6120100018,梁宵/6120220228,石忠佼/6120220161,刘俊辉/6120220106,王彦恺/6120104732,宋晓东/6120104688,李传军/6120103524,丁艳/6120100075 工训楼910,调课:15周 星期4 8-10节 丁艳/6120100075,刘俊辉/6120220106,单家元/6120100018,宋晓东/6120104688,李传军/6120103524,梁宵/6120220228,王彦恺/6120104732,石忠佼/6120220161 文萃楼I602 调至:15周 星期4 8-10节 单家元/6120100018,梁宵/6120220228,石忠佼/6120220161,刘俊辉/6120220106,王彦恺/6120104732,宋晓东/6120104688,李传军/6120103524,丁艳/6120100075 工训楼910"
"9-16周 星期一 8-10节 文萃楼I204,9-16周 星期三 3-5节 文萃楼I204",
"1-8周 星期二 1-2节 文萃楼I602,1-8周 星期四 6-7节 文萃楼I602","调课:7周 星期4 6-7节 章喆/6120220229,黄天坤/6120210189 文萃楼I602 调至:7周 星期6 3-4节 黄天坤/6120210189,章喆/6120220229 ,调课:7周 星期2 1-2节 章喆/6120220229,黄天坤/6120210189 文萃楼I602 调至:7周 星期6 1-2节 黄天坤/6120210189,章喆/6120220229"
"1-8周 星期三 3-5节 文萃楼F704,1-8周 星期五 8-10节 文萃楼F704",调课:4周 星期5 8-10节 温求遒/6120120134 文萃楼F704 调至:4周 星期5 8-10节 温求遒/6120120134 综教B204
"1-16周 星期二 1-2节 文萃楼F303,1-16周 星期五 3-4节 文萃楼F303","调课:4周 星期5 3-4节 刘广彦/6120120139 文萃楼F303 调至:4周 星期5 3-4节 刘广彦/6120120139 理教楼309,调课:13周 星期2 1-2节 刘广彦/6120120139 文萃楼F303 调至:13周 星期5 8-9节 刘广彦/6120120139 文萃楼F303"
1-11周 星期四 11-13节 文萃楼B130,
1-11周 星期五 11-13节 文萃楼F202,调课:2-11周 星期5 11-13节 韩学礼/6120104136 文萃楼F202 调至:2-11周 星期5 11-13节 韩学礼/6120104136 文萃楼G130
4-14周 星期二 11-13节 文萃楼F202,
4-14周 星期二 11-13节 文萃楼F704,
"1-6周,8周 星期二 6-7节 文萃楼I704,1-6周,8周 星期四 6-7节 文萃楼I704,7周 星期二 6-7节 文萃楼I704,7周 星期四 6-7节 文萃楼I704",
