已排时间地点,调课结果
"1-8周 星期二 3-5节 文萃楼F705,1-8周 星期五 3-5节 文萃楼F705,9-16周 星期二 3-5节 文萃楼F705,9-16周 星期五 3-5节 文萃楼F705",调课:4周 星期5 3-5节 陈来/6120190041 文萃楼F705 调至:4周 星期5 3-5节 陈来/6120190041 理教楼404
"1-8周 星期二 3-5节 文萃楼F404,1-8周 星期四 3-5节 文萃楼F404,9-16周 星期二 3-5节 文萃楼F404,9-16周 星期四 3-5节 文萃楼F404",
"1-12周 星期一 8-9节 文萃楼F204,1-12周 星期四 6-7节 文萃楼F204","调课:1-4周 星期1 8-9节 程兴旺/6120104022 文萃楼F204 调至:1-4周 星期1 8-9节 杨林/6120200172 文萃楼F204,调课:1-4周 星期4 6-7节 程兴旺/6120104022 文萃楼F204 调至:1-4周 星期4 6-7节 杨林/6120200172 文萃楼F204"
"1-8周 星期一 3-4节 文萃楼I701,1-8周 星期三 8-9节 文萃楼I701,9-16周 星期一 3-4节 文萃楼I701,9-16周 星期三 8-9节 文萃楼I701","调课:14-16周 星期3 8-9节 陈宇/6120180060 文萃楼I701 调至:14-16周 星期3 8-9节 陈宇/6120180060 ,调课:14-16周 星期1 3-4节 陈宇/6120180060 文萃楼I701 调至:14-16周 星期1 3-4节 陈宇/6120180060"
"1-5周 星期三 6-7节 文萃楼F701,1-5周 星期五 6-7节 文萃楼F701,6周 星期三 6-7节 文萃楼F701,6周 星期五 6-7节 文萃楼F701,7-11周 星期三 6-7节 文萃楼F701,7-11周 星期五 6-7节 文萃楼F701,12-16周 星期二 3-4节 文萃楼F504,12-16周 星期五 6-7节 文萃楼F504","调课:4周 星期5 6-7节 李静波/6120120136 文萃楼F701 调至:4周 星期5 6-7节 李静波/6120120136 综教A401,调课:12-16周 星期5 6-7节 金海波/6120104176 文萃楼F504 调至:12-16周 星期5 6-7节 王成志/6120210283 文萃楼F504,调课:12-16周 星期2 3-4节 金海波/6120104176 文萃楼F504 调至:12-16周 星期2 3-4节 王成志/6120210283 文萃楼F504"
"1-8周 星期二 8-9节 文萃楼F601,1-8周 星期四 8-9节 文萃楼F601",
"9-16周 星期一 6-7节 文萃楼F504,9-16周 星期四 6-7节 文萃楼F504",
"1-8周 星期三 3-4节 文萃楼F703,1-8周 星期五 8-9节 文萃楼F703",调课:4周 星期5 8-9节 朱有启/6120180174 文萃楼F703 调至:4周 星期5 8-9节 朱有启/6120180174 综教A202
"9-16周 星期二 8-9节 文萃楼F305,9-16周 星期五 3-4节 文萃楼F305",
"1-8周 星期三 8-10节 文萃楼F701,1-8周 星期五 8-10节 文萃楼F701",调课:4周 星期5 8-10节 于兴华/6120180190 文萃楼F701 调至:4周 星期5 8-10节 于兴华/6120180190 综教B203
"9-12周 星期三 8-10节 文萃楼F401,9-12周 星期五 8-10节 文萃楼F401,13-16周 星期三 8-10节 文萃楼F401,13-16周 星期五 8-10节 文萃楼F401",
"1-6周 星期一 3-5节 文萃楼I501,1-6周 星期三 8-10节 文萃楼I501,7-11周 星期一 3-5节 文萃楼I501,7-11周 星期三 8-10节 文萃楼I501",
"9-16周 星期二 3-4节 文萃楼G221,9-16周 星期四 3-4节 文萃楼G221",
"9-16周 星期二 6-7节 文萃楼F404,9-16周 星期四 8-9节 文萃楼F404",
"1-6周 星期一 3-5节 文萃楼F301,1-6周 星期三 8-10节 文萃楼F301,7周 星期一 3-5节 文萃楼F301,7周 星期三 8-10节 文萃楼F405,8-14周 星期一 3-5节 文萃楼F405,8-14周 星期三 8-10节 文萃楼F405,14-15周 星期五 2-9节 西山阻燃楼",
"9-15周 星期二 3-5节 文萃楼M134,9-15周 星期四 3-5节 文萃楼M134,15-16周 星期六 2-9节",
"9-12周 星期二 8-10节 文萃楼F401,9-12周 星期四 8-10节 文萃楼F401,13-14周 星期六 2-9节",
"1-2周 星期一 8-10节 文萃楼F701,1-2周 星期三 3-5节 文萃楼F701,3-4周 星期一 8-10节 文萃楼F701,3-4周 星期三 3-5节 文萃楼F701,5-6周 星期六 2-9节 5号楼402","停课:2周 星期1 8-10节葛震/6120104233 文萃楼F701,调课:5周 星期6 2-9节 葛震/6120104233 5号楼402 调至:7周 星期6 2-9节 葛震/6120104233 ,补课:5周 星期1 9-11节  文萃楼F701"
"1-8周 星期一 8-9节 文萃楼I202,1-8周 星期四 3-4节 文萃楼I202",
"9-16周 星期二 1-2节 文萃楼G126,9-16周 星期四 1-2节 文萃楼G126","停课:12周 星期2 1-2节刘兴伟/6120220035 文萃楼G126,补课:14周 星期1 3-4节  文萃楼F502"
"2-7周 星期四 11-13节 文萃楼F305,8-12周 星期四 11-13节 文萃楼F305",
"2-6周 星期四 11-13节 文萃楼F405,7-12周 星期四 11-13节 文萃楼F405",
1-8周 星期一[8-9节]文萃楼F604;1-8周 星期二[6-7节]文萃楼F604,
1-16周 星期三 3-4节 文萃楼H221良乡四号机房,
4-8周 星期一[11-13节]文萃楼B227;4-8周 星期三[8-10节]文萃楼B227;9周 星期一[11-13节]文萃楼B227;9周 星期三[8-9节]文萃楼B227,
"1-8周 星期一 6-7节 文萃楼I205,1-8周 星期四 8-9节 文萃楼I205",
"1-8周 星期二 8-9节 文萃楼M228,1-8周 星期四 6-7节 文萃楼M228",调课:7周 星期2 8-9节 许颜清/6120104284 文萃楼M228 调至:7周 星期2 8-9节 刘天府/6120103728 文萃楼M228
"1-8周 星期一 1-2节 文萃楼F604,1-8周 星期三 6-7节 文萃楼F604",
"1-11周 星期一 8-10节 文萃楼I701,1-11周 星期四 8-10节 理教楼108",
"1-8周 星期二 8-9节 文萃楼M224,1-8周 星期五 3-4节 综教A104",
"9-16周 星期一 1-2节 文萃楼M222,9-16周 星期四 1-2节 文萃楼M222",
"1-8周 星期一 6-7节 文萃楼I403,1-8周 星期三 6-7节 文萃楼I403",调课:5周 星期3 6-7节 王丰/6120160133 文萃楼I403 调至:5周 星期4 1-2节 王丰/6120160133 文萃楼I403
"9-16周 星期二 6-7节 文萃楼I402,9-16周 星期三 6-7节 文萃楼I402",
"1-6周 星期一 3-4节 文萃楼G221,1-6周 星期五 8-10节 文萃楼G221,7周 星期一 3-4节 文萃楼G221",
"1-8周 星期二 1-2节 文萃楼I301,1-8周 星期四 3-4节 文萃楼I301",
"1-6周 星期二 3-5节 文萃楼I401,1-6周 星期五 6-7节 文萃楼I401,7周 星期二 3-4节 文萃楼I401,8-9周 星期六 2-9节 文萃楼F303","调课:4周 星期5 6-7节 罗爱芹/6120100595 文萃楼I401 调至:4周 星期5 6-7节 梁阿新/7520210107 文萃楼I401,调课:4周 星期2 3-5节 罗爱芹/6120100595 文萃楼I401 调至:4周 星期2 3-5节 梁阿新/7520210107 文萃楼I401"
"9-16周 星期二 8-10节 文萃楼M224,9-16周 星期四 8-10节 文萃楼M224",
"9-16周 星期二 8-10节 文萃楼M224,9-16周 星期四 8-10节 文萃楼M224",
"1-8周 星期三 3-5节 文萃楼F403,1-8周 星期五 3-5节 文萃楼I305",调课:6周 星期3 3-5节 魏泽文/6120190025 文萃楼F403 调至:6周 星期3 3-5节 魏泽文/6120190025
"1-8周 星期三 3-5节 文萃楼F303,1-8周 星期五 3-5节 文萃楼M221",调课:6周 星期3 3-5节 李勤/6120103465 文萃楼F303 调至:6周 星期3 3-5节 李勤/6120103465
"1-4周 星期二 6-7节 文萃楼F505,1-4周 星期四 6-7节 文萃楼F505,5-8周 星期二 6-7节 文萃楼F505,5-8周 星期四 6-7节 文萃楼F505",
"1-10周 星期二 3-4节 文萃楼I705,1-10周 星期五 3-4节 文萃楼I705,11-16周 星期二 3-4节 文萃楼I705,11-16周 星期四 8-9节 文萃楼I705",
"1-8周 星期一 6-7节 文萃楼I204,1-8周 星期五 6-7节 文萃楼I204",
"1-8周 星期一 1-2节 文萃楼I404,1-8周 星期四 1-2节 文萃楼I404",
10-13周 星期一 2-5节 文萃楼H222良乡五号机房,
"1-8周 星期二 6-7节 文萃楼M223,1-8周 星期四 6-7节 文萃楼M223",
"1-8周 星期三 1-2节 文萃楼F201,1-8周 星期五 1-2节 文萃楼F201",调课:4周 星期5 1-2节 董润安/6120103048 文萃楼F201 调至:4周 星期5 1-2节 董润安/6120103048 文萃楼G126
"9-16周 星期一 3-4节 文萃楼B221,9-16周 星期三 3-4节 文萃楼B221",
"1-8周 星期二 6-7节 文萃楼G227,1-8周 星期四 6-7节 文萃楼G227",
"9-16周 星期一 3-4节 文萃楼F403,9-16周 星期三 3-4节 文萃楼F403",
"1-8周 星期一 6-7节 文萃楼I505,1-8周 星期五 6-7节 文萃楼F305","调课:4周 星期5 6-7节 史彩成/6120103703,平庆伟/6120103773 文萃楼F305 调至:4周 星期5 6-7节 史彩成/6120103703,平庆伟/6120103773 综教A402"
"9-10周 星期三 2-5节 文萃楼G224,9-10周 星期五 2-5节 文萃楼G224",
"9-16周 星期二 6-7节 文萃楼M222,9-16周 星期四 6-7节 文萃楼M222",
"9-16周 星期二 6-7节 文萃楼M222,9-16周 星期四 6-7节 文萃楼M222",
"9-16周 星期一 3-4节 文萃楼G224,9-16周 星期五 6-7节 文萃楼G224",
"1-8周 星期三 6-7节 文萃楼M223,1-8周 星期五 6-7节 文萃楼M223",
"1-8周 星期二 1-2节 文萃楼I704,1-8周 星期四 1-2节 文萃楼I704",
"1-8周 星期三 1-2节 文萃楼G221,1-8周 星期五 1-2节 文萃楼G221",
"1-8周 星期三 1-2节 文萃楼I704,1-8周 星期五 1-2节 文萃楼I704",
"1-8周 星期三 1-2节 文萃楼G227,1-8周 星期五 1-2节 文萃楼G227",
1-16周 星期二 3-5节 文萃楼B227,调课:10周 星期2 3-5节 安宜/6120103501 文萃楼B227 调至:17周 星期2 3-5节 安宜/6120103501 文萃楼B227
"1-8周 星期一 1-2节 文萃楼I703,1-8周 星期五 3-4节 文萃楼I703",
"9-16周 星期一 6-7节 文萃楼M222,9-16周 星期三 6-7节 文萃楼M222",
"9-16周 星期一 6-7节 文萃楼M222,9-16周 星期三 6-7节 文萃楼M222",
"1-10周 星期二 11-13节 文萃楼F401,11周 星期二 11-12节 文萃楼F401",
"1-10周 星期四 11-13节 文萃楼F605,11周 星期四 11-12节 文萃楼F605",
"1-10周 星期二 11-13节 文萃楼F701,11周 星期二 11-12节 文萃楼F701",
"1-10周 星期四 11-13节 文萃楼I701,11周 星期四 11-12节 文萃楼I701",
"1-10周 星期四 11-13节 文萃楼F705,11周 星期四 11-12节 文萃楼F705",
"1-10周 星期二 11-13节 文萃楼F705,11周 星期二 11-12节 文萃楼F705",
"1-10周 星期二 11-13节 文萃楼F405,11周 星期二 11-12节 文萃楼F405",
"1-16周 星期二 6-7节 文萃楼M125,1-16周 星期五 8-9节 文萃楼M125",
"1-16周 星期一 1-2节 文萃楼F101,1-16周 星期三 1-2节 文萃楼F101,1-16周 星期五 1-2节 文萃楼F101",调课:4周 星期5 1-2节 胡峻/6120103072 文萃楼F101 调至:3周 星期6 3-4节 胡峻/6120103072 文萃楼F101
"1-16周 星期一 1-2节 文萃楼H130,1-16周 星期三 1-2节 文萃楼H130,1-16周 星期五 1-2节 文萃楼H130",
"1-16周 星期一 3-4节 文萃楼M135,1-16周 星期三 3-4节 文萃楼M135,1-16周 星期五 3-4节 文萃楼M135",
"1-8周 星期一 1-2节 文萃楼G125,1-8周 星期三 1-2节 文萃楼G125,1-8周 星期五 1-2节 文萃楼G125,9-16周 星期一 1-2节 文萃楼G125,9-16周 星期三 1-2节 文萃楼G125,9-16周 星期五 1-2节 文萃楼G125",调课:11周 星期3 1-2节 李保奎/6120104241 文萃楼G125 调至:11周 星期3 1-2节 陈晔愍/6120104029 文萃楼G125
"1-8周 星期一 3-4节 文萃楼G125,1-8周 星期三 3-4节 文萃楼G125,1-8周 星期五 3-4节 文萃楼G125,9-16周 星期一 3-4节 文萃楼G125,9-16周 星期三 3-4节 文萃楼G125,9-16周 星期五 3-4节 文萃楼G125",
"1-16周 星期一 1-2节 文萃楼M134,1-16周 星期三 1-2节 文萃楼M134,1-16周 星期五 1-2节 文萃楼M134",
"1-8周 星期一 1-2节 文萃楼B130,1-8周 星期三 1-2节 文萃楼B130,1-8周 星期五 1-2节 文萃楼B130,9-16周 星期一 1-2节 文萃楼B130,9-16周 星期三 1-2节 文萃楼B130,9-16周 星期五 1-2节 文萃楼B130",调课:8周 星期1 1-2节 陈露/6120180104 文萃楼B130 调至:8周 星期7 5-6节 陈露/6120180104 文萃楼B130
"1-16周 星期一 3-4节 文萃楼F402,1-16周 星期三 3-4节 文萃楼F402,1-16周 星期五 3-4节 文萃楼F402","调课:6周 星期3 3-4节 陈晔愍/6120104029 文萃楼F402 调至:6周 星期3 3-4节 沈良/6120104699 文萃楼F402,调课:7周 星期1 3-4节 陈晔愍/6120104029 文萃楼F402 调至:7周 星期1 3-4节 李保奎/6120104241 文萃楼F402,调课:6周 星期1 3-4节 陈晔愍/6120104029 文萃楼F402 调至:6周 星期1 3-4节 沈良/6120104699 文萃楼F402,调课:6周 星期5 3-4节 陈晔愍/6120104029 文萃楼F402 调至:6周 星期5 3-4节 沈良/6120104699 文萃楼F402"
"1-8周 星期一 3-4节 文萃楼B130,1-8周 星期三 3-4节 文萃楼B130,1-8周 星期五 3-4节 文萃楼B130,9-16周 星期一 3-4节 文萃楼B130,9-16周 星期三 3-4节 文萃楼B130,9-16周 星期五 3-4节 文萃楼B130",调课:8周 星期1 3-4节 陈露/6120180104 文萃楼B130 调至:8周 星期7 3-4节 陈露/6120180104 文萃楼B130
"1-16周 星期一 3-4节 文萃楼F404,1-16周 星期三 3-4节 文萃楼F404,1-16周 星期五 3-4节 文萃楼F404",
"1-16周 星期一 3-4节 文萃楼B227,1-16周 星期三 3-4节 文萃楼B227,1-16周 星期五 3-4节 文萃楼B227",
"1-8周 星期一 3-4节 文萃楼F304,1-8周 星期三 3-4节 文萃楼F304,1-8周 星期五 3-4节 文萃楼F304,9-16周 星期一 3-4节 文萃楼F304,9-16周 星期三 3-4节 文萃楼F304,9-16周 星期五 3-4节 文萃楼F304","调课:2周 星期3 3-4节 王博/6120160089 文萃楼F304 调至:2周 星期3 3-4节 王晓阳/6120104841 文萃楼F304,调课:9周 星期5 3-4节 王晓阳/6120104841 文萃楼F304 调至:9周 星期5 3-4节 王博/6120160089 文萃楼F304,调课:2周 星期5 3-4节 王博/6120160089 文萃楼F304 调至:2周 星期5 3-4节 王晓阳/6120104841 文萃楼F304"
"1-16周 星期一 1-2节 文萃楼F304,1-16周 星期三 1-2节 文萃楼F304,1-16周 星期五 1-2节 文萃楼F304",调课:9周 星期5 1-2节 王晓阳/6120104841 文萃楼F304 调至:9周 星期5 1-2节 王博/6120160089 文萃楼F304
1-16周 星期四 6-7节 文萃楼M221,
"4周,7周,10周,13周 星期二 8-10节 理教楼505,16周 星期一 6-9节 文萃楼B233",
1-16周 星期五 6-7节 文萃楼I101,
"1-16周 星期一 1-2节 文萃楼B233,1-16周 星期三 1-2节 文萃楼B233,1-16周 星期五 1-2节 文萃楼B233",
"1-16周 星期一 8-10节 文萃楼I201,1-16周 星期四 8-10节 文萃楼I201",
"1-12周 星期二 6-7节 文萃楼H130,1-12周 星期五 6-7节 文萃楼H130",
"1-16周 星期一 6-7节 文萃楼H130,1-16周 星期四 1-2节 文萃楼H130",
"1-12周 星期三 8-10节 文萃楼G224,1-12周 星期五 8-10节 文萃楼G224","停课:1-2周 星期3 8-10节石靖/6120120125 文萃楼G224,调课:4-12周 星期3 8-10节 石靖/6120120125 文萃楼G224 调至:4-12周 星期3 8-10节 石靖/6120120125 文萃楼I304,调课:3-12周 星期5 8-10节 石靖/6120120125 文萃楼G224 调至:3-12周 星期5 8-10节 石靖/6120120125 文萃楼B140,停课:1-2周 星期5 8-10节石靖/6120120125 文萃楼G224"
1-16周 星期二 3-5节 文萃楼H130,
"1-12周 星期二 6-7节 文萃楼F302,1-12周 星期四 6-7节 文萃楼F302","停课:2周 星期4 6-7节王典朋/6120180055 文萃楼F302,补课:13周 星期2 6-7节  文萃楼F302,补课:13周 星期4 6-7节  文萃楼F302,补课:14周 星期2 6-7节  文萃楼F302,停课:6周 星期2 6-7节王典朋/6120180055 文萃楼F302,停课:4周 星期2 6-7节王典朋/6120180055 文萃楼F302"
1-16周 星期五 8-10节 文萃楼F302,"调课:4周 星期5 8-10节 虞俊/6120190126 文萃楼F302 调至:4周 星期5 8-10节 虞俊/6120190126 综教B405,调课:15周 星期5 8-10节 虞俊/6120190126 文萃楼F302 调至:15周 星期5 8-10节 范一苇/6120220158 文萃楼F302,调课:9周 星期5 8-10节 虞俊/6120190126 文萃楼F302 调至:9周 星期5 8-10节 王存/7520210203 文萃楼F302,调课:6周 星期5 8-10节 虞俊/6120190126 文萃楼F302 调至:6周 星期5 8-10节 郭菲菲/6120230011 文萃楼F302"
"1-12周 星期三 6-7节 文萃楼B140,1-12周 星期五 6-7节 文萃楼B140",补课:13周 星期3 6-7节  文萃楼B140
"1-12周 星期一 6-7节 文萃楼F502,1-12周 星期三 6-7节 文萃楼F502",
"1-12周 星期一 6-7节 文萃楼G125,1-12周 星期三 6-7节 文萃楼G125",调课:9周 星期3 6-7节 朱蓉禅/6120120135 文萃楼G125 调至:9周 星期3 6-7节 王典朋/6120180055 文萃楼G125
"1-12周 星期一 6-7节 文萃楼G130,1-12周 星期三 6-7节 文萃楼G130",
"1-12周 星期一 3-4节 文萃楼F502,1-12周 星期三 3-4节 文萃楼F502",
"1-12周 星期一 6-7节 文萃楼B228,1-12周 星期三 6-7节 文萃楼B228",
4-6周 星期六 2-5节 文萃楼H130,
"1-16周 星期一 8-9节 文萃楼F102,1-16周 星期五 8-9节 文萃楼F103",调课:4周 星期5 8-9节 张祖宏/6120104620 文萃楼F103 调至:4周 星期5 8-9节 张祖宏/6120104620 综教A304
"1-16周 星期一 6-7节 文萃楼F102,1-16周 星期五 6-7节 文萃楼F103",调课:4周 星期5 6-7节 张祖宏/6120104620 文萃楼F103 调至:4周 星期5 6-7节 张祖宏/6120104620 综教A304
"1-16周 星期一 6-7节 文萃楼F704,1-16周 星期三 6-7节 文萃楼F704",
"1-16周 星期一 3-4节 文萃楼F704,1-16周 星期三 3-4节 文萃楼F702",
"1-16周 星期二 3-4节 文萃楼M125,1-16周 星期五 6-7节 文萃楼M125",
"1-8周 星期一 3-4节 文萃楼G126,1-8周 星期三 3-4节 文萃楼G126,1-8周 星期五 3-4节 文萃楼G126,9-16周 星期一 3-4节 文萃楼G126,9-16周 星期三 3-4节 文萃楼G126,9-16周 星期五 3-4节 文萃楼G126",
"1-8周 星期一 6-7节 文萃楼B139,1-8周 星期三 6-7节 文萃楼B139,1-8周 星期五 6-7节 文萃楼B139,9-16周 星期一 6-7节 文萃楼B139,9-16周 星期三 6-7节 文萃楼B139,9-16周 星期五 6-7节 文萃楼B139",
"1-16周 星期一 6-7节 文萃楼G126,1-16周 星期三 6-7节 文萃楼G126","调课:6周 星期3 6-7节 徐厚宝/6120104057 文萃楼G126 调至:6周 星期3 6-7节 李保奎/6120104241 文萃楼G126,调课:6周 星期1 6-7节 徐厚宝/6120104057 文萃楼G126 调至:6周 星期1 6-7节 蔡亮/6120104583 文萃楼G126"
"1-16周 星期一 3-4节 文萃楼H130,1-16周 星期三 3-4节 文萃楼H130,1-16周 星期五 3-4节 文萃楼H130",
"1-16周 星期一 3-4节 文萃楼M134,1-16周 星期三 3-4节 文萃楼M134,1-16周 星期五 3-4节 文萃楼M134",
"1-16周 星期一 3-4节 文萃楼B228,1-16周 星期三 3-4节 文萃楼B228,1-16周 星期五 3-4节 文萃楼B228",
"1-16周 星期一 3-4节 文萃楼B139,1-16周 星期三 3-4节 文萃楼B139,1-16周 星期五 3-4节 文萃楼B139","调课:3周 星期3 3-4节 李学文/6120103144 文萃楼B139 调至:3周 星期3 3-4节 马秀岭/6120103276 文萃楼B139,调课:3周 星期5 3-4节 李学文/6120103144 文萃楼B139 调至:3周 星期5 3-4节 马秀岭/6120103276 文萃楼B139"
"1-16周 星期一 3-4节 文萃楼G130,1-16周 星期三 3-4节 文萃楼G130,1-16周 星期五 3-4节 文萃楼G130",
"1-16周 星期一 3-4节 文萃楼M228,1-16周 星期三 3-4节 文萃楼M228,1-16周 星期五 3-4节 文萃楼M228",
"1-16周 星期一 3-4节 文萃楼F204,1-16周 星期三 3-4节 文萃楼F204,1-16周 星期五 3-4节 文萃楼F204",
"1-16周 星期一 1-2节 文萃楼G130,1-16周 星期三 1-2节 文萃楼G130,1-16周 星期五 1-2节 文萃楼G130","调课:6-8周 星期3 1-2节 史福贵/6120103230 文萃楼G130 调至:6-8周 星期3 1-2节 庞斌/6120170091 文萃楼G130,调课:4-5周 星期5 1-2节 史福贵/6120103230 文萃楼G130 调至:4-5周 星期5 1-2节 庞斌/6120170091 文萃楼G130,调课:6-8周 星期5 1-2节 史福贵/6120103230 文萃楼G130 调至:6-8周 星期5 1-2节 庞斌/6120170091 文萃楼G130,调课:6-8周 星期1 1-2节 史福贵/6120103230 文萃楼G130 调至:6-8周 星期1 1-2节 庞斌/6120170091 文萃楼G130,调课:5周 星期1 1-2节 史福贵/6120103230 文萃楼G130 调至:5周 星期1 1-2节 庞斌/6120170091 文萃楼G130,调课:4-5周 星期3 1-2节 史福贵/6120103230 文萃楼G130 调至:4-5周 星期3 1-2节 庞斌/6120170091 文萃楼G130"
"1-16周 星期一 1-2节 文萃楼F204,1-16周 星期三 1-2节 文萃楼F204,1-16周 星期五 1-2节 文萃楼F204",
"1-16周 星期一 3-4节 文萃楼F103,1-16周 星期三 3-4节 文萃楼F103,1-16周 星期五 3-4节 文萃楼F103",
"1-16周 星期一 1-2节 文萃楼B139,1-16周 星期三 1-2节 文萃楼B139,1-16周 星期五 1-2节 文萃楼B139",
"1-16周 星期一 1-2节 文萃楼B228,1-16周 星期三 1-2节 文萃楼B228,1-16周 星期五 1-2节 文萃楼B228","调课:11周 星期5 1-2节 姚翠珍/6120102987 文萃楼B228 调至:11周 星期5 1-2节 周林芳/6120103174 文萃楼B228,调课:12周 星期5 1-2节 姚翠珍/6120102987 文萃楼B228 调至:12周 星期5 1-2节 周林芳/6120103174 文萃楼B228,调课:12周 星期1 1-2节 姚翠珍/6120102987 文萃楼B228 调至:12周 星期1 1-2节 周林芳/6120103174 文萃楼B228,调课:12周 星期3 1-2节 姚翠珍/6120102987 文萃楼B228 调至:12周 星期3 1-2节 周林芳/6120103174 文萃楼B228"
"1-16周 星期一 3-4节 文萃楼M125,1-16周 星期三 3-4节 文萃楼M125,1-16周 星期五 3-4节 文萃楼M125",
"1-16周 星期一 3-4节 文萃楼F302,1-16周 星期三 3-4节 文萃楼F302,1-16周 星期五 3-4节 文萃楼F302","调课:6周 星期3 3-4节 满红英/6120104105 文萃楼F302 调至:6周 星期3 3-4节 马秀岭/6120103276 文萃楼F302,调课:6周 星期1 3-4节 满红英/6120104105 文萃楼F302 调至:6周 星期1 3-4节 马秀岭/6120103276 文萃楼F302,调课:6周 星期5 3-4节 满红英/6120104105 文萃楼F302 调至:6周 星期5 3-4节 马秀岭/6120103276 文萃楼F302"
"1-5,7-8周 星期一[6-7节]文萃楼M125;1-5,7-8周 星期三[6-7节]文萃楼M125;6周 星期一[6-7节]文萃楼M125;6周 星期三[6-7节]文萃楼M125;9周 星期五[11-12节]文萃楼M125","调课,补课,补课,调课,调课,调课"
1-11周 星期三[8-9节]文萃楼G126;1-10周 星期三[10-10节]文萃楼G126,
1-11周 星期四[8-9节]文萃楼F502;1-10周 星期四[10-10节]文萃楼F502,
1-16周 星期一[8-10节]文萃楼F202,
1-6周 星期五[3-3节]文萃楼I604;1-5周 星期五[4-5节]文萃楼I604,
3-10周 星期四[6-7节]文萃楼G130;3-10周 星期五[6-7节]文萃楼G130,
"1-8周 星期一[3-5节]理教楼304;1-3,5-8周 星期三[3-5节]理教楼304;4周 星期六[3-5节]文萃楼B130","调课,调课,调课"
1-8周 星期二[11-12节]文萃楼F601;1-8周 星期四[11-12节]文萃楼F601,
1-8周 星期二[6-7节]文萃楼F705;1-8周 星期四[6-7节]文萃楼F705,
1-8周 星期一[11-13节]文萃楼F204;1-8周 星期三[11-13节]文萃楼F204,
5-12周 星期四[1-2节]文萃楼F102;5-12周 星期五[1-2节]文萃楼F102,
2-11周 星期四 11-13节 文萃楼G125,"调课:6周 星期4 11-13节 王宏洲/6120103286 文萃楼G125 调至:6周 星期4 11-13节 李学文/6120103144 文萃楼G125,调课:10-11周 星期4 11-13节 王宏洲/6120103286 文萃楼G125 调至:10-11周 星期4 11-13节 黄宝胜/6120103288 文萃楼G125,调课:8-9周 星期4 11-13节 王宏洲/6120103286 文萃楼G125 调至:8-9周 星期4 11-13节 李学文/6120103144 文萃楼G125"
2-12周 星期二 3-5节 文萃楼E207,
2-12周 星期四 3-5节 文萃楼E218,调课:9周 星期4 3-5节 李炳照/6120103181 文萃楼E218 调至:9周 星期4 3-5节 王宏洲/6120103286
1-16周 星期三 6-7节 文萃楼H125良乡二号机房,
2-12周 星期二 11-13节 文萃楼E207,
"2-11周 星期一 8-10节 文萃楼G126,12周 星期一 8-9节 文萃楼G126","停课:6周 星期1 8-10节杨国孝/6120101613 文萃楼G126,补课:13周 星期6 11-13节  文萃楼M222"
1-16周 星期三 8-10节 文萃楼H125良乡二号机房,
1-16周 星期二 8-10节 文萃楼I701,
"1-12周 星期一 6-7节 文萃楼B233,1-12周 星期三 8-9节 文萃楼B233",
"1-12周 星期一 3-4节 文萃楼M233,1-12周 星期三 3-4节 文萃楼M233",调课:2周 星期3 3-4节 李元昌/6120170026 文萃楼M233 调至:2周 星期5 8-9节 李元昌/6120170026 文萃楼F203
"1-16周 星期二 1-2节 文萃楼F604,1-16周 星期五 6-7节 文萃楼F604","调课:5周 星期5 6-7节 郭耀/6120170103 文萃楼F604 调至:5周 星期7 11-12节 郭耀/6120170103 文萃楼F704,调课:4周 星期5 6-7节 郭耀/6120170103 文萃楼F604 调至:4周 星期5 6-7节 郭耀/6120170103 综教A302"
"1-8周 星期一 3-5节 文萃楼M224,1-8周 星期五 3-5节 文萃楼M224",
"1-8周 星期一 3-5节 文萃楼I504,1-8周 星期五 3-5节 文萃楼I504",
"1-8周 星期一 3-5节 文萃楼I605,1-8周 星期五 3-5节 文萃楼I605",
"1-8周 星期一 11-13节 文萃楼I504,1-8周 星期四 3-5节 文萃楼I504",
"9-16周 星期二 6-7节 文萃楼I601,9-16周 星期四 6-7节 文萃楼I601",
"9-16周 星期二 6-7节 文萃楼I304,9-16周 星期四 6-7节 文萃楼I304",
"9-16周 星期二 6-7节 文萃楼F505,9-16周 星期四 6-7节 文萃楼F505",
"9-13周 星期二 11-13节 文萃楼I201,9-13周 星期四 11-13节 文萃楼I201,14周 星期二 11-12节 文萃楼I201",
"1-8周 星期一 8-10节 文萃楼I304,1-8周 星期四 8-10节 文萃楼I304",
"1-8周 星期一 8-10节 文萃楼M221,1-8周 星期四 8-10节 文萃楼M221","停课:5周 星期4 8-10节魏一鸣/6120104637,朱斌/6120170008,张玉利/6120180022,赵伟刚/6120180027 文萃楼M221,补课:7周 星期6 3-5节  文萃楼M233"
"9-16周 星期二 8-9节 文萃楼M223,9-16周 星期四 8-9节 文萃楼M223",
"1-8周 星期一 1-2节 文萃楼F205,1-8周 星期三 1-2节 文萃楼F205",
"1-8周 星期二 6-7节 文萃楼M222,1-8周 星期四 6-7节 文萃楼M222",
"1-8周 星期二 6-7节 文萃楼I605,1-8周 星期四 6-7节 文萃楼I605",
"1-5周 星期三 11-13节 文萃楼B129,1-5周 星期五 3-5节 文萃楼B129,6周 星期三 11-12节 文萃楼B129",
"9-16周 星期一 1-2节 文萃楼I202,9-16周 星期三 1-2节 文萃楼I202",
